ID,Imperor,Image_path_av,Image_path_rev,meta,bbox_av_face,bbox_rev_img,URL
148,Constantine I,images\148_obv_Constantine I.jpg,images\148_rev_Constantine I.jpg,jsons\148_Constantine I.json,"[74, 43, 238, 283]",,https://numismatics.org/collection/1944.100.22744
149,Constantine I,images\149_obv_Constantine I.jpg,images\149_rev_Constantine I.jpg,jsons\149_Constantine I.json,"[33.380462646484375, 20.11287498474121, 261.533935546875, 293.80792236328125]",,https://numismatics.org/collection/1944.100.22745
150,Constantine I,images\150_obv_Constantine I.jpg,images\150_rev_Constantine I.jpg,jsons\150_Constantine I.json,"[78, 24, 240, 287]",,https://numismatics.org/collection/1944.100.22746
151,Constantine I,images\151_obv_Constantine I.jpg,images\151_rev_Constantine I.jpg,jsons\151_Constantine I.json,"[41.96385955810547, 29.73060417175293, 275.43218994140625, 294.9555969238281]",,https://numismatics.org/collection/1944.100.22747
152,Constantine I,images\152_obv_Constantine I.jpg,images\152_rev_Constantine I.jpg,jsons\152_Constantine I.json,"[42.34685134887695, 17.58427619934082, 272.7301940917969, 294.28424072265625]",,https://numismatics.org/collection/1944.100.22748
153,Constantine I,images\153_obv_Constantine I.jpg,images\153_rev_Constantine I.jpg,jsons\153_Constantine I.json,"[70, 29, 224, 279]",,https://numismatics.org/collection/1944.100.22749
154,Constantine I,images\154_obv_Constantine I.jpg,images\154_rev_Constantine I.jpg,jsons\154_Constantine I.json,"[37.5861701965332, 34.35905456542969, 256.5462341308594, 292.99627685546875]",,https://numismatics.org/collection/1944.100.22750
155,Constantine I,images\155_obv_Constantine I.jpg,images\155_rev_Constantine I.jpg,jsons\155_Constantine I.json,"[78, 64, 227, 286]",,https://numismatics.org/collection/1944.100.22751
156,Constantine I,images\156_obv_Constantine I.jpg,images\156_rev_Constantine I.jpg,jsons\156_Constantine I.json,"[53, 22, 219, 270]",,https://numismatics.org/collection/1944.100.22752
157,Constantine I,images\157_obv_Constantine I.jpg,images\157_rev_Constantine I.jpg,jsons\157_Constantine I.json,"[35.446590423583984, 30.38025665283203, 260.1080627441406, 285.280517578125]",,https://numismatics.org/collection/1944.100.22753
158,Constantine I,images\158_obv_Constantine I.jpg,images\158_rev_Constantine I.jpg,jsons\158_Constantine I.json,"[70, 37, 226, 274]",,https://numismatics.org/collection/1944.100.22754
159,Constantine I,images\159_obv_Constantine I.jpg,images\159_rev_Constantine I.jpg,jsons\159_Constantine I.json,"[64, 49, 235, 269]",,https://numismatics.org/collection/1944.100.22755
160,Constantine I,images\160_obv_Constantine I.jpg,images\160_rev_Constantine I.jpg,jsons\160_Constantine I.json,"[86, 42, 240, 282]",,https://numismatics.org/collection/1944.100.22756
161,Constantine I,images\161_obv_Constantine I.jpg,images\161_rev_Constantine I.jpg,jsons\161_Constantine I.json,"[78.62966918945312, 30.336196899414062, 300.0, 282.6332092285156]",,https://numismatics.org/collection/1944.100.22757
162,Constantine I,images\162_obv_Constantine I.jpg,images\162_rev_Constantine I.jpg,jsons\162_Constantine I.json,"[83, 61, 234, 274]",,https://numismatics.org/collection/1944.100.22759
163,Constantine I,images\163_obv_Constantine I.jpg,images\163_rev_Constantine I.jpg,jsons\163_Constantine I.json,"[75, 54, 239, 286]",,https://numismatics.org/collection/1944.100.22760
164,Constantine I,images\164_obv_Constantine I.jpg,images\164_rev_Constantine I.jpg,jsons\164_Constantine I.json,"[39.05979919433594, 50.552268981933594, 263.84844970703125, 297.8900451660156]",,https://numismatics.org/collection/1944.100.22761
165,Constantine I,images\165_obv_Constantine I.jpg,images\165_rev_Constantine I.jpg,jsons\165_Constantine I.json,"[78, 37, 222, 257]",,https://numismatics.org/collection/1944.100.22762
166,Constantine I,images\166_obv_Constantine I.jpg,images\166_rev_Constantine I.jpg,jsons\166_Constantine I.json,"[134.75537109375, 39.41782760620117, 287.7898864746094, 274.2135925292969]",,https://numismatics.org/collection/1944.100.22763
167,Constantine I,images\167_obv_Constantine I.jpg,images\167_rev_Constantine I.jpg,jsons\167_Constantine I.json,"[62, 45, 246, 267]",,https://numismatics.org/collection/1944.100.22764
168,Constantine I,images\168_obv_Constantine I.jpg,images\168_rev_Constantine I.jpg,jsons\168_Constantine I.json,"[68, 37, 226, 283]",,https://numismatics.org/collection/1944.100.22765
169,Constantine I,images\169_obv_Constantine I.jpg,images\169_rev_Constantine I.jpg,jsons\169_Constantine I.json,"[36.2664680480957, 19.987648010253906, 274.0572204589844, 267.3257141113281]",,https://numismatics.org/collection/1944.100.22766
170,Constantine I,images\170_obv_Constantine I.jpg,images\170_rev_Constantine I.jpg,jsons\170_Constantine I.json,"[77.89652252197266, 23.10910987854004, 299.6744689941406, 279.1228942871094]",,https://numismatics.org/collection/1944.100.22767
171,Constantine I,images\171_obv_Constantine I.jpg,images\171_rev_Constantine I.jpg,jsons\171_Constantine I.json,"[67.03438568115234, 23.556230545043945, 286.6591491699219, 281.146484375]",,https://numismatics.org/collection/1944.100.22768
172,Constantine I,images\172_obv_Constantine I.jpg,images\172_rev_Constantine I.jpg,jsons\172_Constantine I.json,"[66.58160400390625, 15.874442100524902, 289.92974853515625, 282.85400390625]",,https://numismatics.org/collection/1944.100.22769
173,Constantine I,images\173_obv_Constantine I.jpg,images\173_rev_Constantine I.jpg,jsons\173_Constantine I.json,"[76, 35, 240, 283]",,https://numismatics.org/collection/1944.100.22770
174,Constantine I,images\174_obv_Constantine I.jpg,images\174_rev_Constantine I.jpg,jsons\174_Constantine I.json,"[91, 28, 253, 278]",,https://numismatics.org/collection/1944.100.22771
175,Constantine I,images\175_obv_Constantine I.jpg,images\175_rev_Constantine I.jpg,jsons\175_Constantine I.json,"[15.748442649841309, 10.908507347106934, 265.7708740234375, 285.8291320800781]",,https://numismatics.org/collection/1944.100.22772
176,Constantine I,images\176_obv_Constantine I.jpg,images\176_rev_Constantine I.jpg,jsons\176_Constantine I.json,"[80, 47, 231, 283]",,https://numismatics.org/collection/1944.100.22773
177,Constantine I,images\177_obv_Constantine I.jpg,images\177_rev_Constantine I.jpg,jsons\177_Constantine I.json,"[75, 46, 217, 268]",,https://numismatics.org/collection/1944.100.22774
178,Constantine I,images\178_obv_Constantine I.jpg,images\178_rev_Constantine I.jpg,jsons\178_Constantine I.json,"[36.859867095947266, 33.546295166015625, 255.33689880371094, 290.5564270019531]",,https://numismatics.org/collection/1944.100.22775
179,Constantine I,images\179_obv_Constantine I.jpg,images\179_rev_Constantine I.jpg,jsons\179_Constantine I.json,"[61.5112190246582, 52.396484375, 294.1383056640625, 282.2255859375]",,https://numismatics.org/collection/1944.100.22776
180,Constantine I,images\180_obv_Constantine I.jpg,images\180_rev_Constantine I.jpg,jsons\180_Constantine I.json,"[64, 38, 248, 284]",,https://numismatics.org/collection/1944.100.22777
181,Constantine I,images\181_obv_Constantine I.jpg,images\181_rev_Constantine I.jpg,jsons\181_Constantine I.json,"[30.83643913269043, 29.79520606994629, 269.5527648925781, 292.854248046875]",,https://numismatics.org/collection/1944.100.22778
182,Constantine I,images\182_obv_Constantine I.jpg,images\182_rev_Constantine I.jpg,jsons\182_Constantine I.json,"[61, 42, 208, 273]",,https://numismatics.org/collection/1944.100.22779
183,Constantine I,images\183_obv_Constantine I.jpg,images\183_rev_Constantine I.jpg,jsons\183_Constantine I.json,"[81, 61, 241, 273]",,https://numismatics.org/collection/1944.100.22780
184,Constantine I,images\184_obv_Constantine I.jpg,images\184_rev_Constantine I.jpg,jsons\184_Constantine I.json,"[94, 29, 242, 250]",,https://numismatics.org/collection/1944.100.22781
185,Constantine I,images\185_obv_Constantine I.jpg,images\185_rev_Constantine I.jpg,jsons\185_Constantine I.json,"[25.095232009887695, 16.651954650878906, 256.4199523925781, 294.5344543457031]",,https://numismatics.org/collection/1944.100.22782
186,Constantine I,images\186_obv_Constantine I.jpg,images\186_rev_Constantine I.jpg,jsons\186_Constantine I.json,"[78, 45, 239, 275]",,https://numismatics.org/collection/1944.100.22783
187,Constantine I,images\187_obv_Constantine I.jpg,images\187_rev_Constantine I.jpg,jsons\187_Constantine I.json,"[74.75660705566406, 36.58452606201172, 298.0207214355469, 289.3341979980469]",,https://numismatics.org/collection/1944.100.22784
188,Constantine I,images\188_obv_Constantine I.jpg,images\188_rev_Constantine I.jpg,jsons\188_Constantine I.json,"[81.77452850341797, 27.391632080078125, 274.8994140625, 273.7893371582031]",,https://numismatics.org/collection/1944.100.22785
189,Constantine I,images\189_obv_Constantine I.jpg,images\189_rev_Constantine I.jpg,jsons\189_Constantine I.json,"[12.46844482421875, 43.99783706665039, 248.38748168945312, 292.8408508300781]",,https://numismatics.org/collection/1944.100.22786
190,Constantine I,images\190_obv_Constantine I.jpg,images\190_rev_Constantine I.jpg,jsons\190_Constantine I.json,"[98.95362091064453, 51.413665771484375, 260.22235107421875, 285.3870544433594]",,https://numismatics.org/collection/1944.100.22787
191,Constantine I,images\191_obv_Constantine I.jpg,images\191_rev_Constantine I.jpg,jsons\191_Constantine I.json,"[55, 35, 245, 273]",,https://numismatics.org/collection/1944.100.22788
192,Constantine I,images\192_obv_Constantine I.jpg,images\192_rev_Constantine I.jpg,jsons\192_Constantine I.json,"[57, 53, 247, 277]",,https://numismatics.org/collection/1944.100.22789
193,Constantine I,images\193_obv_Constantine I.jpg,images\193_rev_Constantine I.jpg,jsons\193_Constantine I.json,"[83, 27, 261, 274]",,https://numismatics.org/collection/1944.100.22790
194,Constantine I,images\194_obv_Constantine I.jpg,images\194_rev_Constantine I.jpg,jsons\194_Constantine I.json,"[51.858890533447266, 53.266456604003906, 242.8977508544922, 291.3034973144531]",,https://numismatics.org/collection/1944.100.22791
195,Constantine I,images\195_obv_Constantine I.jpg,images\195_rev_Constantine I.jpg,jsons\195_Constantine I.json,"[69, 45, 243, 276]",,https://numismatics.org/collection/1944.100.22792
196,Constantine I,images\196_obv_Constantine I.jpg,images\196_rev_Constantine I.jpg,jsons\196_Constantine I.json,"[32.272422790527344, 46.10000228881836, 270.4921875, 293.71002197265625]",,https://numismatics.org/collection/1944.100.22793
197,Constantine I,images\197_obv_Constantine I.jpg,images\197_rev_Constantine I.jpg,jsons\197_Constantine I.json,"[55.177772521972656, 11.379603385925293, 269.04132080078125, 276.868408203125]",,https://numismatics.org/collection/1944.100.22794
198,Constantine I,images\198_obv_Constantine I.jpg,images\198_rev_Constantine I.jpg,jsons\198_Constantine I.json,"[70, 27, 239, 277]",,https://numismatics.org/collection/1944.100.22795
199,Constantine I,images\199_obv_Constantine I.jpg,images\199_rev_Constantine I.jpg,jsons\199_Constantine I.json,"[88.00011444091797, 29.519832611083984, 267.89056396484375, 272.1069030761719]",,https://numismatics.org/collection/1944.100.22796
200,Constantine I,images\200_obv_Constantine I.jpg,images\200_rev_Constantine I.jpg,jsons\200_Constantine I.json,"[62, 37, 221, 282]",,https://numismatics.org/collection/1944.100.22797
201,Constantine I,images\201_obv_Constantine I.jpg,images\201_rev_Constantine I.jpg,jsons\201_Constantine I.json,"[43.088462829589844, 16.316986083984375, 270.7691955566406, 290.9974365234375]",,https://numismatics.org/collection/1944.100.22798
202,Constantine I,images\202_obv_Constantine I.jpg,images\202_rev_Constantine I.jpg,jsons\202_Constantine I.json,"[66, 34, 243, 263]",,https://numismatics.org/collection/1944.100.22799
203,Constantine I,images\203_obv_Constantine I.jpg,images\203_rev_Constantine I.jpg,jsons\203_Constantine I.json,"[90.63299560546875, 38.86104202270508, 297.24951171875, 289.1669921875]",,https://numismatics.org/collection/1944.100.22800
204,Constantine I,images\204_obv_Constantine I.jpg,images\204_rev_Constantine I.jpg,jsons\204_Constantine I.json,"[58, 63, 240, 288]",,https://numismatics.org/collection/1944.100.22801
205,Constantine I,images\205_obv_Constantine I.jpg,images\205_rev_Constantine I.jpg,jsons\205_Constantine I.json,"[48, 60, 218, 278]",,https://numismatics.org/collection/1944.100.2762
206,Constantine I,images\206_obv_Constantine I.jpg,images\206_rev_Constantine I.jpg,jsons\206_Constantine I.json,"[66, 59, 244, 266]",,https://numismatics.org/collection/1944.100.2786
207,Constantine I,images\207_obv_Constantine I.jpg,images\207_rev_Constantine I.jpg,jsons\207_Constantine I.json,"[52.61357879638672, 24.063833236694336, 262.61083984375, 290.2797546386719]",,https://numismatics.org/collection/1944.100.2787
208,Constantine I,images\208_obv_Constantine I.jpg,images\208_rev_Constantine I.jpg,jsons\208_Constantine I.json,"[27.346628189086914, 15.427321434020996, 276.8472595214844, 300.0]",,https://numismatics.org/collection/1944.100.2788
209,Constantine I,images\209_obv_Constantine I.jpg,images\209_rev_Constantine I.jpg,jsons\209_Constantine I.json,"[66, 68, 250, 273]",,https://numismatics.org/collection/1944.100.2789
210,Constantine I,images\210_obv_Constantine I.jpg,images\210_rev_Constantine I.jpg,jsons\210_Constantine I.json,"[58, 45, 252, 280]",,https://numismatics.org/collection/1944.100.2790
211,Constantine I,images\211_obv_Constantine I.jpg,images\211_rev_Constantine I.jpg,jsons\211_Constantine I.json,"[52, 73, 233, 278]",,https://numismatics.org/collection/1944.100.2791
212,Constantine I,images\212_obv_Constantine I.jpg,images\212_rev_Constantine I.jpg,jsons\212_Constantine I.json,"[43, 51, 221, 278]",,https://numismatics.org/collection/0000.999.3155
213,Constantine I,images\213_obv_Constantine I.jpg,images\213_rev_Constantine I.jpg,jsons\213_Constantine I.json,"[61, 58, 234, 267]",,https://numismatics.org/collection/1944.100.5414
214,Constantine I,images\214_obv_Constantine I.jpg,images\214_rev_Constantine I.jpg,jsons\214_Constantine I.json,"[65, 55, 239, 265]",,https://numismatics.org/collection/1944.100.5415
215,Constantine I,images\215_obv_Constantine I.jpg,images\215_rev_Constantine I.jpg,jsons\215_Constantine I.json,"[45, 67, 226, 262]",,https://numismatics.org/collection/1944.100.5416
216,Constantine I,images\216_obv_Constantine I.jpg,images\216_rev_Constantine I.jpg,jsons\216_Constantine I.json,"[43, 62, 201, 276]",,https://numismatics.org/collection/1944.100.5417
217,Constantine I,images\217_obv_Constantine I.jpg,images\217_rev_Constantine I.jpg,jsons\217_Constantine I.json,"[40, 48, 236, 273]",,https://numismatics.org/collection/1944.100.5418
218,Constantine I,images\218_obv_Constantine I.jpg,images\218_rev_Constantine I.jpg,jsons\218_Constantine I.json,"[45, 68, 236, 278]",,https://numismatics.org/collection/1944.100.5419
219,Constantine I,images\219_obv_Constantine I.jpg,images\219_rev_Constantine I.jpg,jsons\219_Constantine I.json,"[55, 73, 244, 276]",,https://numismatics.org/collection/1944.100.5420
220,Constantine I,images\220_obv_Constantine I.jpg,images\220_rev_Constantine I.jpg,jsons\220_Constantine I.json,"[55, 62, 243, 277]",,https://numismatics.org/collection/1944.100.5421
221,Constantine I,images\221_obv_Constantine I.jpg,images\221_rev_Constantine I.jpg,jsons\221_Constantine I.json,"[54, 66, 253, 277]",,https://numismatics.org/collection/1944.100.5422
222,Constantine I,images\222_obv_Constantine I.jpg,images\222_rev_Constantine I.jpg,jsons\222_Constantine I.json,"[56, 66, 235, 275]",,https://numismatics.org/collection/1944.100.5423
223,Constantine I,images\223_obv_Constantine I.jpg,images\223_rev_Constantine I.jpg,jsons\223_Constantine I.json,"[59, 61, 233, 267]",,https://numismatics.org/collection/1944.100.5424
224,Constantine I,images\224_obv_Constantine I.jpg,images\224_rev_Constantine I.jpg,jsons\224_Constantine I.json,"[63.8598518371582, 21.327951431274414, 269.6990661621094, 289.2160949707031]",,https://numismatics.org/collection/1944.100.5425
225,Constantine I,images\225_obv_Constantine I.jpg,images\225_rev_Constantine I.jpg,jsons\225_Constantine I.json,"[63, 49, 241, 278]",,https://numismatics.org/collection/1944.100.5426
226,Constantine I,images\226_obv_Constantine I.jpg,images\226_rev_Constantine I.jpg,jsons\226_Constantine I.json,"[35, 75, 217, 283]",,https://numismatics.org/collection/1944.100.5427
227,Constantine I,images\227_obv_Constantine I.jpg,images\227_rev_Constantine I.jpg,jsons\227_Constantine I.json,"[53, 72, 239, 281]",,https://numismatics.org/collection/1944.100.5428
228,Constantine I,images\228_obv_Constantine I.jpg,images\228_rev_Constantine I.jpg,jsons\228_Constantine I.json,"[71, 65, 235, 270]",,https://numismatics.org/collection/1944.100.5429
229,Constantine I,images\229_obv_Constantine I.jpg,images\229_rev_Constantine I.jpg,jsons\229_Constantine I.json,"[4.6270246505737305, 31.279104232788086, 112.40818786621094, 282.23681640625]",,https://numismatics.org/collection/1944.100.5430
230,Constantine I,images\230_obv_Constantine I.jpg,images\230_rev_Constantine I.jpg,jsons\230_Constantine I.json,"[55, 67, 237, 271]",,https://numismatics.org/collection/1944.100.5431
231,Constantine I,images\231_obv_Constantine I.jpg,images\231_rev_Constantine I.jpg,jsons\231_Constantine I.json,"[57, 59, 253, 272]",,https://numismatics.org/collection/1944.100.5432
232,Constantine I,images\232_obv_Constantine I.jpg,images\232_rev_Constantine I.jpg,jsons\232_Constantine I.json,"[71, 70, 242, 293]",,https://numismatics.org/collection/1944.100.5433
233,Constantine I,images\233_obv_Constantine I.jpg,images\233_rev_Constantine I.jpg,jsons\233_Constantine I.json,"[78, 75, 250, 273]",,https://numismatics.org/collection/1944.100.5443
234,Constantine I,images\234_obv_Constantine I.jpg,images\234_rev_Constantine I.jpg,jsons\234_Constantine I.json,"[54, 68, 235, 279]",,https://numismatics.org/collection/1944.100.5444
235,Constantine I,images\235_obv_Constantine I.jpg,images\235_rev_Constantine I.jpg,jsons\235_Constantine I.json,"[42, 54, 228, 282]",,https://numismatics.org/collection/1944.100.5445
236,Constantine I,images\236_obv_Constantine I.jpg,images\236_rev_Constantine I.jpg,jsons\236_Constantine I.json,"[47, 70, 225, 282]",,https://numismatics.org/collection/1944.100.5446
237,Constantine I,images\237_obv_Constantine I.jpg,images\237_rev_Constantine I.jpg,jsons\237_Constantine I.json,"[43, 62, 241, 294]",,https://numismatics.org/collection/1944.100.5447
238,Constantine I,images\238_obv_Constantine I.jpg,images\238_rev_Constantine I.jpg,jsons\238_Constantine I.json,"[26, 66, 220, 290]",,https://numismatics.org/collection/1944.100.5448
239,Constantine I,images\239_obv_Constantine I.jpg,images\239_rev_Constantine I.jpg,jsons\239_Constantine I.json,"[43, 62, 249, 291]",,https://numismatics.org/collection/1944.100.5449
240,Constantine I,images\240_obv_Constantine I.jpg,images\240_rev_Constantine I.jpg,jsons\240_Constantine I.json,"[53.989437103271484, 42.958457946777344, 234.22061157226562, 298.61572265625]",,https://numismatics.org/collection/1944.100.5478
241,Constantine I,images\241_obv_Constantine I.jpg,images\241_rev_Constantine I.jpg,jsons\241_Constantine I.json,"[87.95172882080078, 38.440616607666016, 255.80101013183594, 282.58782958984375]",,https://numismatics.org/collection/1944.100.5479
242,Constantine I,images\242_obv_Constantine I.jpg,images\242_rev_Constantine I.jpg,jsons\242_Constantine I.json,"[56.136070251464844, 45.097930908203125, 247.86705017089844, 286.54925537109375]",,https://numismatics.org/collection/1944.100.5480
243,Constantine I,images\243_obv_Constantine I.jpg,images\243_rev_Constantine I.jpg,jsons\243_Constantine I.json,"[53.883880615234375, 58.982208251953125, 254.39871215820312, 295.26568603515625]",,https://numismatics.org/collection/1944.100.5481
244,Constantine I,images\244_obv_Constantine I.jpg,images\244_rev_Constantine I.jpg,jsons\244_Constantine I.json,"[56, 64, 244, 293]",,https://numismatics.org/collection/1944.100.5482
245,Constantine I,images\245_obv_Constantine I.jpg,images\245_rev_Constantine I.jpg,jsons\245_Constantine I.json,"[35, 63, 251, 289]",,https://numismatics.org/collection/1944.100.5483
246,Constantine I,images\246_obv_Constantine I.jpg,images\246_rev_Constantine I.jpg,jsons\246_Constantine I.json,"[31.174497604370117, 33.388423919677734, 261.77764892578125, 284.49444580078125]",,https://numismatics.org/collection/1944.100.5484
247,Constantine I,images\247_obv_Constantine I.jpg,images\247_rev_Constantine I.jpg,jsons\247_Constantine I.json,"[63.478858947753906, 43.30180740356445, 285.7508239746094, 282.8988037109375]",,https://numismatics.org/collection/1944.100.5485
248,Constantine I,images\248_obv_Constantine I.jpg,images\248_rev_Constantine I.jpg,jsons\248_Constantine I.json,"[27.047937393188477, 46.390655517578125, 260.86273193359375, 294.4171142578125]",,https://numismatics.org/collection/1944.100.5486
249,Constantine I,images\249_obv_Constantine I.jpg,images\249_rev_Constantine I.jpg,jsons\249_Constantine I.json,"[33.60442352294922, 45.93875503540039, 269.0270080566406, 298.74810791015625]",,https://numismatics.org/collection/1944.100.5487
250,Constantine I,images\250_obv_Constantine I.jpg,images\250_rev_Constantine I.jpg,jsons\250_Constantine I.json,"[7.194499492645264, 35.063209533691406, 230.10855102539062, 291.3274230957031]",,https://numismatics.org/collection/1944.100.5488
251,Constantine I,images\251_obv_Constantine I.jpg,images\251_rev_Constantine I.jpg,jsons\251_Constantine I.json,"[44.390628814697266, 51.542755126953125, 263.6216125488281, 295.2341613769531]",,https://numismatics.org/collection/1944.100.5489
252,Constantine I,images\252_obv_Constantine I.jpg,images\252_rev_Constantine I.jpg,jsons\252_Constantine I.json,"[30.913122177124023, 45.59983825683594, 278.8076477050781, 300.0]",,https://numismatics.org/collection/1944.100.5490
253,Constantine I,images\253_obv_Constantine I.jpg,images\253_rev_Constantine I.jpg,jsons\253_Constantine I.json,"[58, 59, 243, 288]",,https://numismatics.org/collection/1944.100.5491
254,Constantine I,images\254_obv_Constantine I.jpg,images\254_rev_Constantine I.jpg,jsons\254_Constantine I.json,"[36, 66, 214, 296]",,https://numismatics.org/collection/1944.100.5492
255,Constantine I,images\255_obv_Constantine I.jpg,images\255_rev_Constantine I.jpg,jsons\255_Constantine I.json,"[47, 52, 243, 279]",,https://numismatics.org/collection/1944.100.5493
256,Constantine I,images\256_obv_Constantine I.jpg,images\256_rev_Constantine I.jpg,jsons\256_Constantine I.json,"[24.024723052978516, 44.38705062866211, 260.1602478027344, 293.6192321777344]",,https://numismatics.org/collection/1944.100.3043
257,Constantine I,images\257_obv_Constantine I.jpg,images\257_rev_Constantine I.jpg,jsons\257_Constantine I.json,"[40.1981201171875, 30.897729873657227, 263.7933349609375, 294.3899230957031]",,https://numismatics.org/collection/1944.100.3044
258,Constantine I,images\258_obv_Constantine I.jpg,images\258_rev_Constantine I.jpg,jsons\258_Constantine I.json,"[89.80004119873047, 37.69443130493164, 295.89178466796875, 289.41900634765625]",,https://numismatics.org/collection/1944.100.3048
259,Constantine I,images\259_obv_Constantine I.jpg,images\259_rev_Constantine I.jpg,jsons\259_Constantine I.json,"[51, 61, 222, 270]",,https://numismatics.org/collection/1944.100.3051
260,Constantine I,images\260_obv_Constantine I.jpg,images\260_rev_Constantine I.jpg,jsons\260_Constantine I.json,"[47, 62, 251, 289]",,https://numismatics.org/collection/1944.100.3052
261,Constantine I,images\261_obv_Constantine I.jpg,images\261_rev_Constantine I.jpg,jsons\261_Constantine I.json,"[54, 49, 238, 280]",,https://numismatics.org/collection/1944.100.3053
262,Constantine I,images\262_obv_Constantine I.jpg,images\262_rev_Constantine I.jpg,jsons\262_Constantine I.json,"[56, 54, 253, 290]",,https://numismatics.org/collection/1944.100.3054
263,Constantine I,images\263_obv_Constantine I.jpg,images\263_rev_Constantine I.jpg,jsons\263_Constantine I.json,"[61.970298767089844, 48.44687271118164, 289.1459655761719, 295.6349792480469]",,https://numismatics.org/collection/1944.100.3055
264,Constantine I,images\264_obv_Constantine I.jpg,images\264_rev_Constantine I.jpg,jsons\264_Constantine I.json,"[52, 36, 253, 285]",,https://numismatics.org/collection/1944.100.3056
265,Constantine I,images\265_obv_Constantine I.jpg,images\265_rev_Constantine I.jpg,jsons\265_Constantine I.json,"[121.55667877197266, 44.458919525146484, 297.3274230957031, 270.44757080078125]",,https://numismatics.org/collection/1944.100.3059
266,Constantine I,images\266_obv_Constantine I.jpg,images\266_rev_Constantine I.jpg,jsons\266_Constantine I.json,"[73, 50, 239, 276]",,https://numismatics.org/collection/1944.100.3060
267,Constantine I,images\267_obv_Constantine I.jpg,images\267_rev_Constantine I.jpg,jsons\267_Constantine I.json,"[45, 45, 218, 290]",,https://numismatics.org/collection/1944.100.3061
268,Constantine I,images\268_obv_Constantine I.jpg,images\268_rev_Constantine I.jpg,jsons\268_Constantine I.json,"[73, 70, 249, 278]",,https://numismatics.org/collection/1944.100.3063
269,Constantine I,images\269_obv_Constantine I.jpg,images\269_rev_Constantine I.jpg,jsons\269_Constantine I.json,"[85, 51, 247, 282]",,https://numismatics.org/collection/1944.100.3064
270,Constantine I,images\270_obv_Constantine I.jpg,images\270_rev_Constantine I.jpg,jsons\270_Constantine I.json,"[67, 49, 249, 288]",,https://numismatics.org/collection/1944.100.3065
271,Constantine I,images\271_obv_Constantine I.jpg,images\271_rev_Constantine I.jpg,jsons\271_Constantine I.json,"[58.28853225708008, 8.052606582641602, 247.57923889160156, 260.7568359375]",,https://numismatics.org/collection/1944.100.3066
272,Constantine I,images\272_obv_Constantine I.jpg,images\272_rev_Constantine I.jpg,jsons\272_Constantine I.json,"[54, 42, 245, 284]",,https://numismatics.org/collection/1944.100.3067
273,Constantine I,images\273_obv_Constantine I.jpg,images\273_rev_Constantine I.jpg,jsons\273_Constantine I.json,"[57, 52, 249, 285]",,https://numismatics.org/collection/1944.100.3068
274,Constantine I,images\274_obv_Constantine I.jpg,images\274_rev_Constantine I.jpg,jsons\274_Constantine I.json,"[63, 67, 240, 270]",,https://numismatics.org/collection/1944.100.3070
275,Constantine I,images\275_obv_Constantine I.jpg,images\275_rev_Constantine I.jpg,jsons\275_Constantine I.json,"[33.41276931762695, 20.734546661376953, 257.20257568359375, 281.6180419921875]",,https://numismatics.org/collection/1944.100.3072
276,Constantine I,images\276_obv_Constantine I.jpg,images\276_rev_Constantine I.jpg,jsons\276_Constantine I.json,"[63.00032424926758, 67.00257873535156, 271.6006164550781, 299.9147644042969]",,https://numismatics.org/collection/1944.100.3073
277,Constantine I,images\277_obv_Constantine I.jpg,images\277_rev_Constantine I.jpg,jsons\277_Constantine I.json,"[23.55431365966797, 48.81099319458008, 263.8648376464844, 288.9222717285156]",,https://numismatics.org/collection/1944.100.3077
278,Constantine I,images\278_obv_Constantine I.jpg,images\278_rev_Constantine I.jpg,jsons\278_Constantine I.json,"[74, 58, 247, 274]",,https://numismatics.org/collection/1944.100.3078
279,Constantine I,images\279_obv_Constantine I.jpg,images\279_rev_Constantine I.jpg,jsons\279_Constantine I.json,"[61, 53, 261, 282]",,https://numismatics.org/collection/1944.100.3079
280,Constantine I,images\280_obv_Constantine I.jpg,images\280_rev_Constantine I.jpg,jsons\280_Constantine I.json,"[48.19315719604492, 56.45633316040039, 250.0787353515625, 293.76922607421875]",,https://numismatics.org/collection/1944.100.3080
281,Constantine I,images\281_obv_Constantine I.jpg,images\281_rev_Constantine I.jpg,jsons\281_Constantine I.json,"[66, 66, 232, 277]",,https://numismatics.org/collection/1944.100.3081
282,Constantine I,images\282_obv_Constantine I.jpg,images\282_rev_Constantine I.jpg,jsons\282_Constantine I.json,"[23.78660011291504, 18.92071533203125, 258.1827392578125, 294.37841796875]",,https://numismatics.org/collection/1944.100.3082
283,Constantine I,images\283_obv_Constantine I.jpg,images\283_rev_Constantine I.jpg,jsons\283_Constantine I.json,"[59, 59, 242, 270]",,https://numismatics.org/collection/1944.100.3083
284,Constantine I,images\284_obv_Constantine I.jpg,images\284_rev_Constantine I.jpg,jsons\284_Constantine I.json,"[57, 41, 248, 267]",,https://numismatics.org/collection/1944.100.5503
285,Constantine I,images\285_obv_Constantine I.jpg,images\285_rev_Constantine I.jpg,jsons\285_Constantine I.json,"[69.27978515625, 51.892208099365234, 256.0113220214844, 280.0473937988281]",,https://numismatics.org/collection/1944.100.5520
286,Constantine I,images\286_obv_Constantine I.jpg,images\286_rev_Constantine I.jpg,jsons\286_Constantine I.json,"[33.95876693725586, 44.18489074707031, 250.59796142578125, 289.4651794433594]",,https://numismatics.org/collection/1944.100.5527
